"ID_REPORT";"TIPO_MATCH";"COD_LOCALE_PROGETTO";"CUP";"OC_LINK";"OC_FLAG_VISUALIZZAZIONE";"NOTE"
1225;"url_clp";"1MISECIPEPUG01";"F53J12000080001";"www.opencoesione.gov.it/progetti/1misecipepug01";0;
1226;"url_clp";"1PUFE4.200018";"B57E09000130002";"www.opencoesione.gov.it/progetti/1pufe4200018";0;
1227;"url_clp";"7UM32024";"E91B14000000006";"www.opencoesione.gov.it/progetti/7um32024";0;
1228;"url_clp";"1PUFE7.200149";"D77I11000360002";"www.opencoesione.gov.it/progetti/1pufe7200149";0;
1229;"url_clp";"1MISEPACCAM-CE02";"F28I13000090006";"www.opencoesione.gov.it/progetti/1misepaccam-ce02";0;"1 report 2 CLP (POR e PAC)"
1229;"url_clp";"1MISECAMPANIA - CE2";"F28I13000090006";"www.opencoesione.gov.it/progetti/1misecampania-ce2";0;"1 report 2 CLP (POR e PAC)"
1231;"url_clp";"1MISEABRAA042-01";"C56I95000000007";"www.opencoesione.gov.it/progetti/1miseabraa042-01";0;
1232;"url_clp";"1MISECBFV15";"J83B10000790001";"www.opencoesione.gov.it/progetti/1misecbfv15";0;
1233;"url_clp";"2LAA0055P0005";"E49H10000990003";"www.opencoesione.gov.it/progetti/2laa0055p0005";0;
1234;"url_clp";"2LAA0055P0003";"E49B10000240003";"www.opencoesione.gov.it/progetti/2laa0055p0003";0;
1235;"url_clp";"3PIPBAN-12295";"H16I12000460002";"www.opencoesione.gov.it/progetti/3pipban-12295";0;
1236;"url_clp";"1MISEMO3C.008";"D39B14000080002";"www.opencoesione.gov.it/progetti/1misemo3c008";0;
1237;"url_clp";"1MISECIPESAR01";"F24B12000120001";"www.opencoesione.gov.it/progetti/1misecipesar01";0;
1239;"url_clp";"27AB621A001";"F14B07000210002";"www.opencoesione.gov.it/progetti/27ab621a001";0;
1240;"url_clp";"1MISELOMSLCA01";"E77H14002210002";"www.opencoesione.gov.it/progetti/1miselomslca01";0;
1241;"url_clp";"1CL205219";"J99G11000060007";"www.opencoesione.gov.it/progetti/1cl205219";0;
1243;"url_clp";"1MISEPACCAL-VB01";"E45C14000030006";"www.opencoesione.gov.it/progetti/1misepaccal-vb01";0;
1246;"url_clp";"1MA8906";"B82G09000040009";"www.opencoesione.gov.it/progetti/1ma8906";0;
1247;"url_clp";"1MISECALABRIA2";"F18I13000430006";"www.opencoesione.gov.it/progetti/1misecalabria2";0;
1248;"url_clp";"1CA80C32007IT161PO009";"C48J09000010006";"www.opencoesione.gov.it/progetti/1ca80c32007it161po009";0;
1249;"url_clp";"1CL208332";"G28F09000040002";"www.opencoesione.gov.it/progetti/1cl208332";0;
1251;"url_clp";"1CA21C212007IT161PO009";"G46J10000000002";"www.opencoesione.gov.it/progetti/1ca21c212007it161po009";0;
1253;"url_clp";"1MISECOM225_PdC_DL_LAV";"I23G08000080001";"www.opencoesione.gov.it/progetti/1misecom225_pdc_dl_lav";0;
1254;"url_clp";"6TO169197";"C49D09000160002";"www.opencoesione.gov.it/progetti/6to169197";0;
1255;"url_clp";"1VE15395";"C55J09000110009";"www.opencoesione.gov.it/progetti/1ve15395";0;
1256;"url_clp";"2BA75/2013/2";"G45C13000880006";"www.opencoesione.gov.it/progetti/2ba7520132";0;
1257;"url_clp";"1MISEPON02_00451_3362376/1";"B61C12000910005";"www.opencoesione.gov.it/progetti/1misepon02_00451_33623761";0;
1259;"url_clp";"1MISELOMSMIA03";"I77H14000600002";"www.opencoesione.gov.it/progetti/1miselomsmia03";0;
1260;"url_clp";"1SA0704V522IIT1100020";"E64E11000330006";"www.opencoesione.gov.it/progetti/1sa0704v522iit1100020";0;
1261;"url_clp";"1SA00050102413a55646920141";"E82H12000000003";"www.opencoesione.gov.it/progetti/1sa00050102413a55646920141";0;
1262;"url_clp";"1MISEPIAI*090556/0012/0021*C-0363-P";"B53F03000110005";"www.opencoesione.gov.it/progetti/1misepiai09055600120021c-0363-p";0;
1263;"url_clp";"3PIPBAN-12759";"C16F11000050009";"www.opencoesione.gov.it/progetti/3pipban-12759";0;
1264;"url_clp";"1SI8145";"G64B11000110006";"www.opencoesione.gov.it/progetti/1si8145";0;
1265;"url_clp";"1SA11103IV423ASM110002";"G13D12000300004";"www.opencoesione.gov.it/progetti/1sa11103iv423asm110002";0;
1266;"url_clp";"1MISE999-6.3_862-Palomonte";"G52D11001240003";"www.opencoesione.gov.it/progetti/1mise999-63_862-palomonte";0;
1268;"url_clp";"1CA96C32007IT161PO009";"I91J05000040005";"www.opencoesione.gov.it/progetti/1ca96c32007it161po009";0;
1269;"url_clp";"1CL209362";"J58G12000350001";"www.opencoesione.gov.it/progetti/1cl209362";0;
1270;"url_clp";"1SA00050102413a3278120101";"G29D12000400006";"www.opencoesione.gov.it/progetti/1sa00050102413a3278120101";0;
