"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"FLT";"NOTE"
"2007PI004MA002";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA ABRUZZO";"ABRUZZO";
"2007PI004MA013";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007PI004MA011";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007PI004MA004";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LAZIO";"LAZIO";
"2007PI004MA008";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LIGURIA";"LIGURIA";
"2007PI004MA003";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA LOMBARDIA";"LOMBARDIA";
"2007PI004MA007";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA MARCHE";"MARCHE";
"2007PI004MA005";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA MOLISE";"MOLISE";
"2007PI004MA001";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA PIEMONTE";"PIEMONTE";
"2007PI004MA010";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA TOSCANA";"TOSCANA";
"2007PI004MA006";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA VALLE D'AOSTA";"VALLE D'AOSTA";
"2007PI004MA009";"2007-2013";"FSC";"PRA-PNA";"PS RISORSA IDRICA VENETO";"VENETO";
"2007AB002FA001";"2007-2013";"FSC";"PAR";"PAR FSC ABRUZZO";"ABRUZZO";
"2007EM002FA002";"2007-2013";"FSC";"PAR";"PAR FSC EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007FR002FA003";"2007-2013";"FSC";"PAR";"PAR FSC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007LI002FA005";"2007-2013";"FSC";"PAR";"PAR FSC LIGURIA";"LIGURIA";
"2007LO002FA006";"2007-2013";"FSC";"PAR";"PAR FSC LOMBARDIA";"LOMBARDIA";
"2007MA002FA007";"2007-2013";"FSC";"PAR";"PAR FSC MARCHE";"MARCHE";
"2007MO002FA009";"2007-2013";"FSC";"PAR";"PAR FSC MOLISE";"MOLISE";
"2007BO002FA009";"2007-2013";"FSC";"PAR";"PAR FSC PA BOLZANO";"PA BOLZANO";
"2007PI002FA011";"2007-2013";"FSC";"PAR";"PAR FSC PIEMONTE";"PIEMONTE";
"2007TO003FA012";"2007-2013";"FSC";"PAR";"PAR FSC TOSCANA";"TOSCANA";
"2007UM002FA013";"2007-2013";"FSC";"PAR";"PAR FSC UMBRIA";"UMBRIA";
"2007TR002FA010";"2007-2013";"FSC";"PAR";"PAR FSC P.A. TRENTO";"PA TRENTO";
"2007VA002FA014";"2007-2013";"FSC";"PAR";"PAR FSC VALLE D'AOSTA";"VALLE D'AOSTA";
"2007VE002FA015";"2007-2013";"FSC";"PAR";"PAR FSC VENETO";"VENETO";
"2007IT001FAOS1";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS ABRUZZO";"ABRUZZO";
"2007IT001FAOS5";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS BASILICATA";"BASILICATA";
"2007IT001FAOS3";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS CAMPANIA";"CAMPANIA";
"2007IT001FAOS2";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS MOLISE";"MOLISE";
"2007IT001FAOS8";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS SARDEGNA";"SARDEGNA";
"2007IT001FAOS7";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS SICILIA";"SICILIA";
"2007IT001FAOS9";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS MIUR";"NAZ";
"2007IT161PO012";"2007-2013";"FESR";"POR";"POR CONV FESR BASILICATA";"BASILICATA";
"2007IT161PO008";"2007-2013";"FESR";"POR";"POR CONV FESR CALABRIA";"CALABRIA";
"2007IT161PO009";"2007-2013";"FESR";"POR";"POR CONV FESR CAMPANIA";"CAMPANIA";
"2007IT161PO010";"2007-2013";"FESR";"POR";"POR CONV FESR PUGLIA";"PUGLIA";
"2007IT161PO011";"2007-2013";"FESR";"POR";"POR CONV FESR SICILIA";"SICILIA";
"2007IT162PO002";"2007-2013";"FESR";"POR";"POR CRO FESR EMILIA ROMAGNA";"EMILIA-ROMAGNA";
"2007IT162PO004";"2007-2013";"FESR";"POR";"POR CRO FESR LAZIO";"LAZIO";
"2007IT162PO005";"2007-2013";"FESR";"POR";"POR CRO FESR LIGURIA";"LIGURIA";
"2007IT162PO007";"2007-2013";"FESR";"POR";"POR CRO FESR MARCHE";"MARCHE";
"2007IT162PO008";"2007-2013";"FESR";"POR";"POR CRO FESR MOLISE";"MOLISE";
"2007IT162PO016";"2007-2013";"FESR";"POR";"POR CRO FESR SARDEGNA";"SARDEGNA";
"2007IT162PO012";"2007-2013";"FESR";"POR";"POR CRO FESR TOSCANA";"TOSCANA";
"2007IT162PO013";"2007-2013";"FESR";"POR";"POR CRO FESR UMBRIA";"UMBRIA";
"2007IT162PO001";"2007-2013";"FESR";"POR";"POR CRO FESR ABRUZZO";"ABRUZZO";
"2007IT162PO003";"2007-2013";"FESR";"POR";"POR CRO FESR FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2007IT162PO006";"2007-2013";"FESR";"POR";"POR CRO FESR LOMBARDIA";"LOMBARDIA";
"2007IT162PO009";"2007-2013";"FESR";"POR";"POR CRO FESR PA BOLZANO";"PA BOLZANO";
"2007IT162PO010";"2007-2013";"FESR";"POR";"POR CRO FESR PA TRENTO";"PA TRENTO";
"2007IT162PO011";"2007-2013";"FESR";"POR";"POR CRO FESR PIEMONTE";"PIEMONTE";
