"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"x_REGNAZ";"TIPO";"NOTE"
"2016PATTICAMP:::2017POIMPCOMFSC";"2014-2020";"FSC";"PIANI";"PATTO CAMPANIA + PIANO FSC IMPRESE E COMPETITIVITA'";"CAMPANIA";1;
"2016PATTIPUG";"2014-2020";"FSC";"PATTI";"PATTO PUGLIA";"PUGLIA";0;
"2016PATTIRC";"2014-2020";"FSC";"PATTI";"PATTO REGGIO CALABRIA";"CALABRIA";0;
"2016PATTISARD";"2014-2020";"FSC";"PATTI";"PATTO SARDEGNA";"SARDEGNA";0;
"2016PATTISICI";"2014-2020";"FSC";"PATTI";"PATTO SICILIA";"SICILIA";0;
"2016PATTIVEN";"2014-2020";"FSC";"PATTI";"PATTO VENEZIA";"VENETO";0;
"2016MISEBULFSC1";"2014-2020";"FSC";"PIANI";"PIANO FSC BANDA ULTRA LARGA";"NAZ";0;
"2007PB006MA025";"2007-2013";"FSC";"CHK";"PIANO DISCARICHE ABRUZZO";"ABRUZZO";9;
"2007PB006MA022";"2007-2013";"FSC";"CHK";"PIANO DISCARICHE PUGLIA";"PUGLIA";9;
"2007PB006MA024";"2007-2013";"FSC";"CHK";"PIANO DISCARICHE SICILIA";"SICILIA";9;
"2007PB006MA023";"2007-2013";"FSC";"NAZ-INF";"PIANO DISCARICHE VENETO";"VENETO";0;
"FSC_1420_CDD_01";"2014-2020";"FSC";"PIANI";"PIANO DISSESSTO IDROGEOLOGICO – ALTRO";"NAZ";4;"Residuo"
"2017POAGRICOFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC AGRICOLTURA";"NAZ";0;
"2017POAMBIENFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC AMBIENTE";"NAZ";0;
"2017POIMPCOMFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC IMPRESE E COMPETITIVITA'";"NAZ";0;
"2017POINFRASFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC INFRASTRUTTURE";"NAZ";0;
"2018POSALUTEFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC SALUTE";"NAZ";0;
"POSPORTFSC";"2014-2020";"FSC";"PIANI";"PIANO FSC SPORT E PERIFERIE";"NAZ";0;
"2015XMINTFSC016";"2007-2013";"FSC";"NAZ-NEW";"PIANO SICUREZZA URBANA ROMA";"NAZ";0;"Monitorato su BDU 2014-2020"
"2014XXSMDFSC004";"2014-2020";"FSC";"ALTRI CIPE";"PIANO STRALCIO CIS TARANTO";"NAZ";3;"Verificare se va accorpato a CIS Taranto"
"2016MBCSGFSC006";"2014-2020";"FSC";"PIANI";"PIANO FSC CULTURA E TURISMO";"NAZ";0;"Era “piano stralcio”"
"2016ABAMPSAP01";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – ABRUZZO";"NAZ";3;"Accorpato"
"2016EMAMPSAP02";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – EMILIA ROMAGNA";"NAZ";3;"Accorpato"
"2016LIAMPSAP03";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – LIGURIA";"NAZ";3;"Accorpato"
"2016LOAMPSAP06";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – LOMBARDIA";"NAZ";3;"Accorpato"
"2016SAAMPSAP04";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – SARDEGNA";"NAZ";3;"Accorpato"
"2016TOAMPSAP05";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – TOSCANA";"NAZ";3;"Accorpato"
"2016VEAMPSAP07";"2014-2020";"FSC";"PIANI";"PIANO DISSESTO IDROGEOLOGICO – VENETO";"NAZ";3;"Accorpato"
"2017FSCRICERCA";"2014-2020";"FSC";"PIANI";"PIANO FSC RICERCA E INNOVAZIONE";"NAZ";0;"Era “piano stralcio”"
"2017PPORTTARFSC";"2014-2020";"FSC";"ALTRI CIPE";"PIASTRA PORTUALE DI TARANTO";"NAZ";3;"Verificare se va accorpato a CIS Taranto"
"2007IT001FA003";"2007-2013";"FSC";"NAZ-NEW";"PNA DA EXPO AI TERRITORI";"NAZ";0;
"2007IT006FISMA";"2007-2013";"FSC";"NAZ-ALT";"PNA NUOVA IMPRENDITORIALITA' AGRICOLA";"NAZ";0;
"2007IT004FAMA1";"2007-2013";"FSC";"NAZ-PCM";"PNA RISANAMENTO AMBIENTALE";"NAZ";0;
"2007CB163PO061";"2007-2013";"CTE";"CTE";"PO CTE FESR EUROPA CENTRALE";"NAZ";0;
"2007CB163PO069";"2007-2013";"CTE";"CTE";"PO CTE FESR EUROPA SUD-ORIENTALE";"NAZ";0;
"2007CB163PO052";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - AUSTRIA";"NAZ";0;
"2007CB163PO034";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA ALCOTRA";"NAZ";0;
"2007CB163PO033";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA MARITTIMO";"NAZ";0;
"2007CB163PO037";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - MALTA";"NAZ";0;
"2007CB163PO036";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - SLOVENIA";"NAZ";0;
"2007CB163PO035";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - SVIZZERA";"NAZ";0;
"2007CB163PO045";"2007-2013";"CTE";"CTE";"PO CTE FESR MEDITERRANEO";"NAZ";0;
"2007CB163PO014";"2007-2013";"CTE";"CTE";"PO CTE FESR SPAZIO ALPINO 2007/2013";"NAZ";0;
"2007AB002OC001";"2000-2006";"EXPOC";"POC REGIONALI";"POC ABRUZZO";"ABRUZZO";9;
"2011PAC001FS01";"2000-2006";"EXPOC";"POC NAZIONALI";"POC AZIONE FERROVIE";"NAZ";9;
"POCBASILICATA";"2014-2020";"POC";"POC REGIONALI";"POC BASILICATA";"BASILICATA";0;
"2007BA001OC012";"2000-2006";"EXPOC";"POC REGIONALI";"POC BASILICATA";"BASILICATA";9;
"2017POCCALABRIA";"2014-2020";"POC";"POC REGIONALI";"POC CALABRIA";"CALABRIA";0;"Contiene completamenti"
"2007CL001OC008";"2000-2006";"EXPOC";"POC REGIONALI";"POC CALABRIA";"CALABRIA";9;
"2016POCCAMPAN01";"2014-2020";"POC";"POC REGIONALI";"POC CAMPANIA";"CAMPANIA";0;
"2007CA001OC009";"2000-2006";"EXPOC";"POC REGIONALI";"POC CAMPANIA";"CAMPANIA";9;
"2016POCCULTURA1";"2014-2020";"POC";"POC NAZIONALI";"POC CULTURA";"NAZ";0;
"2007EM002OC002";"2000-2006";"EXPOC";"POC REGIONALI";"POC EMILIA ROMAGNA";"EMILIA-ROMAGNA";9;
"2017POCENERGIA";"2014-2020";"POC";"POC NAZIONALI";"POC ENERGIA";"NAZ";0;"Contiene completamenti"
"2007FR002OC003";"2000-2006";"EXPOC";"POC REGIONALI";"POC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";9;
