"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2007PI004MA004";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LAZIO";
"2007PI004MA008";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LIGURIA";
"2007PI004MA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA LOMBARDIA";
"2007PI004MA007";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA MARCHE";
"2007PI004MA005";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA MOLISE";
"2007PI004MA001";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA PIEMONTE";
"2007PI004MA010";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA TOSCANA";
"2007PI004MA006";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA VALLE D'AOSTA";
"2007PI004MA009";"2007-2013";"PROGRAMMI FSC";"FSC";"PRA-PNA";"PS RISORSA IDRICA VENETO";
"2007AB002FA001";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC ABRUZZO";
"2007EM002FA002";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC EMILIA ROMAGNA";
"2007FR002FA003";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC FRIULI VENEZIA GIULIA";
"2007LI002FA005";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC LIGURIA";
"2007LO002FA006";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC LOMBARDIA";
"2007MA002FA007";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC MARCHE";
"2007MO002FA009";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC MOLISE";
"2007BO002FA009";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC PA BOLZANO";
"2007PI002FA011";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC PIEMONTE";
"2007TO003FA012";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC TOSCANA";
"2007UM002FA013";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC UMBRIA";
"2007TR002FA010";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC P.A. TRENTO";
"2007VA002FA014";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC VALLE D'AOSTA";
"2007VE002FA015";"2007-2013";"PROGRAMMI FSC";"FSC";"PAR";"PAR FSC VENETO";
"2007IT001FAOS1";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS ABRUZZO";
"2007IT001FAOS5";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS BASILICATA";
"2007IT001FAOS3";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS CAMPANIA";
"2007IT001FAOS2";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS MOLISE";
"2007IT001FAOS8";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS SARDEGNA";
"2007IT001FAOS7";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS SICILIA";
"2007IT001FAOS9";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS MIUR";
"2007IT161PO012";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CONV FESR BASILICATA";
"2007IT161PO008";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CONV FESR CALABRIA";
"2007IT161PO009";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CONV FESR CAMPANIA";
"2007IT161PO010";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CONV FESR PUGLIA";
"2007IT161PO011";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CONV FESR SICILIA";
"2007IT162PO002";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR EMILIA ROMAGNA";
"2007IT162PO004";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR LAZIO";
"2007IT162PO005";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR LIGURIA";
"2007IT162PO007";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR MARCHE";
"2007IT162PO008";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR MOLISE";
"2007IT162PO016";"2007-2013";"PROGRAMMI FESR";"FESR";"POR";"POR CRO FESR SARDEGNA";
